index,segment,answerDate,NPS,impactInteraction,reason,improvement
107,Segmento 1,MES 3,5,3,solicite un cupo para abances no ácido posible tan poco tengo respuesta el motivo,dar respuesta clara y oportuna
108,Segmento 1,MES 1,1,1,"LLEVO CON LA EMPRESA, 6 AÑOS LLEVO PAGANDO 3 AÑOS SEGIDOS UN SEGURO EN LA CUENTA SE MUEVE UN PROMEDIO ENTRE8 MILLOS DE PESOS MENSUALES
Y NO ME PRESTARON 5 MILLONES PARA HACER VIDA CREDITICIA Y NI UNA TARJETA DE CREDITO ME OFRECIERON, CON ESO ENTIENDO Q ALOS CLIENTES NO SON TENIDO EN CUENTA. POR ESO NO LA PUEDO RECOMENDAR",LO MINIMO ES DARLE PRIORIDAD A LOS CLIENTES ANTIGUOS Y MINIMO ALGUIEN Q LLEVE MAS DE 3 AÑOS CON SUS PRODUCTOS.
109,Segmento 1,MES 2,3,2,Muy mala atención mucha demora para un cumple reclamo.,Ponerles más atención a esas personas que hacen que trabajan y apenas miran los clientes.
110,Segmento 1,MES 3,3,3,No lo recomiendo es un banco muy costoso en los servicios prestados,
111,Segmento 2,MES 1,3,3,"Porque cuando hay algún retraso , no dan la información del incremento oportunamente y liquidan mal, paga uno lo que liquidan y luego sigue debiendo saluditos y luego vienen cobros por cobranzas que no son justificados",Que cuando se pida una liquidación. Lo hagan oportunamente y así le eviten al cuentabiente costos de cobranzas
112,Segmento 1,MES 2,1,1,"la atención al cliente, es de mala calidad. si quieren atender atienden, si necesitan pasar a alguien sin hacer fila lo hacen por encima del que tiene el turno, casi que es rogar para ser atendido","ponerse la mano en el corazón y sentir que nosotros como clientes estamos depositando nuestra confianza y nuestro dinero en sus manos, o sea somos los que ustedes necesitan, ojala hubiera una rebelión y todos sacaran su poco dinero de los bancos y así las corporaciones bancarias tendrían que ofrecer servicios dignos"
113,Segmento 1,MES 3,0,1,"No envian extractos  a pesar que los solicite que me lo enviaran a este que es mi correo, pero extrañamente si me envian información  del valor  de la cuota a pagar, no es posible  que deba pagar la cuota sin conocer mis extractos.",Solo por favor envienme mi extracto  mensual.  Gracias por su gestión
114,Segmento 1,MES 1,3,1,"Estuve 2 horas solicitado un 
cheque de un cdt  metieron que otra persona debía autorizar lo yo ya había hablado temprano con wsa señora y le había dicho que lo iba a retirar. Y después dicha mujer tiene el descaro delllamarme y no autorizado sino hacerme preguntas de datos wrdnalws cuando yi haba dejado ya mis huellas y cédula y había estado en la oficina  y luego se va la que me estaba ateniéndo y la que me llama no es capaz de enviar el correo a la oficia y si me cuelga. Mi dinero lo manejo yo no una asesora ordena si lo puedo sacar o no .",Agilizar 3l trámite no cerrar oficinas yenos ña que yo usaba avisar que uno depende de unnx para autores sacr wl diero de uno.. Cobtratar gente capacitada.  Idónea si ya me hicieron la biometria para que tengo que responder llamadas que pueden prestarse para fraudes.
115,Segmento 1,MES 2,1,3,Muy cara esa tarjeta de crédito; impagable!!’,La atención del asesor fue buena; me refiero a muy caros los intereses que ustedes manejan!! Es una tarjeta de crédito demasiado cara!!!
116,Segmento 1,MES 3,1,3,"No espiarle que me cobren por u producto que no uso (crédito rotativo) sin que lo use hace más de 5 años y que solo lo pueda cancelar teléfonicamente , INACEPTABLE",No cobrarme  por un producto  que no uso y permitir cancelar presencialmente en la sucursales
