index,segment,answerDate,NPS,impactInteraction,reason,improvement
853,Segmento 1,MES 2,10,3,Mucha demora en la atención,Habia 4 asesores pero solo 1 estaba atendiendo
854,Segmento 1,MES 3,10,4,Buen servicio,Todo está bien
855,Segmento 1,MES 1,10,5,Buena atención,Ok
856,Segmento 1,MES 2,9,5,Buena atención,Todo bien
857,Segmento 1,MES 3,10,5,Atención,Tasas de interés bajas
858,Segmento 1,MES 1,10,5,Buena atención,Seguí así con constancia y perseverancia
859,Segmento 1,MES 2,10,4,Excelente servicio,Por el momento he contado con lo que requiero
860,Segmento 1,MES 3,10,5,Buena atención,Resolver mis inconvenientes de una manera más rápida
861,Segmento 1,MES 1,10,5,Buen servicio,Todo ok
862,Segmento 1,MES 2,10,5,Buen servicio,Esta bn la atención
863,Segmento 2,MES 3,10,5,Por la atención,
864,Segmento 1,MES 1,10,5,,
865,Segmento 1,MES 2,10,5,Buen servicio,Implementar mejor atención al cliente
866,Segmento 2,MES 3,9,5,Excelente atención,Me parece todo bien
867,Segmento 2,MES 1,10,5,Fui bien atendido,Mejorar la atencion a las personas mayores
868,Segmento 2,MES 2,10,5,buen servicio,"que todas las cajas siempre funcionen, que siempre allá cajeros disponibles"
869,Segmento 1,MES 3,9,5,Muy buena atención,Más rápida la atención
870,Segmento 2,MES 1,9,3,Buena atencion,Todo bien
871,Segmento 2,MES 2,10,5,BUEN SERVICIO,MEJORAR EL TIEMPO DE ATENCION AL CLIENTE POR LOS ASESORES NO POR LOS CAJEROS
872,Segmento 1,MES 3,10,5,Buena atención,Mejorar la cuota de manejo de la tarjeta
873,Segmento 1,MES 1,10,3,todo fue Normal,Pienso que nada  todo normal
874,Segmento 1,MES 2,10,5,Buena atención,En consultas hay demora en la atención por cantidad de usuarios
875,Segmento 1,MES 3,10,5,Atención rápida,Así estubo bien
876,Segmento 1,MES 1,10,5,Buena atención,Más cajeros
877,Segmento 1,MES 2,10,1,Excelente atención,"Seguir atendiendo de la forma en que lo hacen, con mucho respeto amabilidad"
878,Segmento 1,MES 3,9,5,Buena atención,"Establecer linea de atención preferencial a los de tercera edad,discapacitados y madres gestantes."
879,Segmento 1,MES 1,10,5,Buen servicio,
880,Segmento 1,MES 2,10,5,Muy buena atención,Para mí poder hacer los pagos en mi pueblo y no viajar
881,Segmento 1,MES 3,10,5,Excelente atencion,Una sucursal más cercana
882,Segmento 3,MES 1,10,4,Buen servicio,Por el momento está bien así
883,Segmento 1,MES 2,10,5,Atencion,Mas empleados
884,Segmento 1,MES 3,10,5,Atención,Bajar las tasas
885,Segmento 1,MES 1,9,5,Buen servicio,Mantener el buen servicio en la oficina
886,Segmento 1,MES 2,10,5,Excelente atención,Todo está perfecto
887,Segmento 1,MES 3,10,4,Buena atención,Pues no todo está bien
888,Segmento 1,MES 1,10,5,Buena atencion,
889,Segmento 1,MES 2,10,5,Buena atención,Todo esta bien
890,Segmento 1,MES 3,10,4,Servicio,Más agilidad para llegar a la asesoria
891,Segmento 1,MES 1,10,3,Excelente servicio,Así está bien
892,Segmento 2,MES 2,10,3,Todo bien,Mejorar tiempo de atencion
893,Segmento 1,MES 3,10,5,Muy buena atención,
894,Segmento 1,MES 1,10,5,Excelente servicio,"Contraten más personal, la persona que me atendió muy amable pero se veía muy muy ocupado"
895,Segmento 1,MES 2,10,5,Buen servicio,
896,Segmento 1,MES 3,9,3,Excelente servicio,
897,Segmento 2,MES 1,9,5,Buena atención,Todo está bien
898,Segmento 1,MES 2,10,4,Muy buena atencion,
899,Segmento 1,MES 3,9,5,Rápida atención,"Se debe priorizar al adulto mayor,"
900,Segmento 2,MES 1,9,4,Buen servicio,Más calidez
901,Segmento 1,MES 2,10,5,Excelente atención,no tengo quejas
902,Segmento 1,MES 3,10,5,Buena atención,"No sea tan demorados los turnos, más personal."
903,Segmento 1,MES 1,10,3,Muchas fila,Más agilidad
904,Segmento 1,MES 2,10,5,bien,
905,Segmento 2,MES 3,10,5,Buen servicio,"Minimizar tanta tramitologia, los pagos sea via virtual, en depositario o en caja, se apliquen inmediatamente al producto en el caso de las tarjeta de crédito, para que los cupos quedan disponible, no esperar 24 o hasta 48 hora para ver reflejado los nuevos saldos"
906,Segmento 1,MES 1,10,5,Excelente atención,Todo está perfecto
907,Segmento 1,MES 2,10,5,Buena atención,Todo esta bien
908,Segmento 1,MES 3,9,5,Es bueno,Explicar mejor
909,Segmento 2,MES 1,10,5,Excelente servicio,Mejorar la atención por telefono
910,Segmento 1,MES 2,10,5,EXCELENTE Atención,Todo funciona perfecto muchas gracias
911,Segmento 2,MES 3,10,5,Excelente atencion,Estoy muy satisfecha
912,Segmento 1,MES 1,10,5,Excelente atención,
913,Segmento 1,MES 2,10,3,No solucionaron mi inquietud,Mejor orientación de los asesores y que no todo sea vía telefónica aun personas que nos gusta hacer las cosas personalmente
914,Segmento 2,MES 3,10,5,Atencion,Nada
915,Segmento 1,MES 1,10,5,Excelente atención,Todo está muy bien
916,Segmento 1,MES 2,10,5,Muy buena atencion,Darme la oportunidad de un crédito rotativo .
917,Segmento 2,MES 3,10,5,BUENA ATENCION,N
918,Segmento 1,MES 1,10,5,Excelente atención,Todo bien
919,Segmento 2,MES 2,10,4,excelente servicio,
920,Segmento 1,MES 3,10,5,N,"Actitud de las personas que atienden, algunos deben mejorar su actitud"
921,Segmento 1,MES 1,10,5,Buena atención,
922,Segmento 1,MES 2,9,5,EXCELENTE LA ATENCION,MAS TRABAJADORES
923,Segmento 2,MES 3,10,5,excelente atención,dar continuidad al excelente servicio
924,Segmento 1,MES 1,10,5,Buena atencion,Todo bien
925,Segmento 1,MES 2,10,3,,
926,Segmento 1,MES 3,10,5,Buen servicio,Me parececio muy amable el asesor
927,Segmento 1,MES 1,10,5,Buena atención,El horario extendido debería volver y atención los sábados
928,Segmento 1,MES 2,10,5,Excelente atención,Así está muy bien
929,Segmento 2,MES 3,10,5,Buena atencion,Hasta ahora todo bien
930,Segmento 1,MES 1,10,5,Muy buena atencion,Todo esta muy bien
931,Segmento 1,MES 2,10,5,Excelente atencion,Aumento del cupo credicticio
932,Segmento 2,MES 3,10,5,Muy buena atencion,Mantener el buen servicio
933,Segmento 3,MES 1,10,5,Excelente atención,Sin comentarios
934,Segmento 1,MES 2,10,5,Buena atencion,Todo está muy bien
935,Segmento 1,MES 3,10,3,,
936,Segmento 1,MES 1,9,4,Buena atencion,Ok
937,Segmento 1,MES 2,10,5,Excelente atencion,Mejorar tasas de interes
938,Segmento 2,MES 3,10,4,Buen servicio,En la oficina  de diverplaza colocar ➕️  asesores para  los clientes
939,Segmento 1,MES 1,10,5,Excelente atención,Más personal..
940,Segmento 1,MES 2,9,5,Buen servicio,
941,Segmento 1,MES 3,10,5,Buena atención,Continuar con la atención al cliente exelente
942,Segmento 2,MES 1,10,4,Muy demorado,Más rápido
943,Segmento 2,MES 2,10,5,Buena atención,Atender mas rápido
944,Segmento 1,MES 3,10,5,buen servicio,todo esta bien
945,Segmento 2,MES 1,10,5,Buena atención,Colocar más asesores para no tardar tanto en pasar
946,Segmento 1,MES 2,10,3,Sin comentarios,La atención estuvo muy bien
947,Segmento 1,MES 3,9,5,Buen trato,Dar más opciones de retiros en cajeros
948,Segmento 2,MES 1,9,3,sigue igual,colocar mas cajeros
949,Segmento 2,MES 2,10,5,Excelente atencion,muchas gracias por la atencion
950,Segmento 1,MES 3,10,5,muy buena atención,
951,Segmento 1,MES 1,10,5,BUENA ATENCION,
952,Segmento 2,MES 2,10,5,buen servicio,instalar mas cajeros consignatarios en la ciudad de Envigado Antioquia
953,Segmento 2,MES 3,9,3,todo igual,otra oficina en el centro
954,Segmento 2,MES 1,10,5,buena atencion,mejorar  con atencion personalizada
955,Segmento 2,MES 2,10,5,Excelente atención,
956,Segmento 1,MES 3,10,5,Buen servicio,Así está perfecto
957,Segmento 2,MES 1,10,5,Excelente atención,Todo muy bien
958,Segmento 1,MES 2,10,5,Rápida atención,
959,Segmento 1,MES 3,10,5,Bien,Lo mismo
960,Segmento 1,MES 1,10,5,Muy buena atención,Todo esta muy bien asi
961,Segmento 1,MES 2,10,5,Atención rápida,Seguir con el buen servicio
962,Segmento 1,MES 3,10,5,Excelente servicio,Están bien
963,Segmento 1,MES 1,10,3,Me atendieron rápido,Seguir igual
964,Segmento 2,MES 2,9,4,Buena atencion,Continuar con una buena politica
965,Segmento 1,MES 3,10,3,Na,
966,Segmento 2,MES 1,9,5,excelente servicio,"para mi suficiente y excelente el servicio, muchas gracias"
967,Segmento 1,MES 2,10,4,Si,Nada
968,Segmento 1,MES 3,10,5,Excelente atención,Aire acondicionado en la sede Parque Nariño
969,Segmento 1,MES 1,10,5,Excelente servicio,"Revisar el desbloqueo de mi targeta o me informen en que fecha puedo volver a utilizarla.

Gracias"
970,Segmento 1,MES 2,9,5,Rápida atención,
971,Segmento 1,MES 3,10,5,Excelente atención,Más rápido los turnos
972,Segmento 1,MES 1,10,5,Rápida atención,Tener en cuenta como prioritarios a los adultos mayores
973,Segmento 1,MES 2,10,5,Excelente servicio,Muy bien atendido y bien aconsejado por la persona que me atendió
974,Segmento 2,MES 3,10,5,Buena atención,
975,Segmento 1,MES 1,9,5,Buena atención,Calidad
976,Segmento 1,MES 2,10,5,Excelente servicio,"Por ahora nada, gracias"
977,Segmento 2,MES 3,10,5,excelente servicio,mejorar en la informacion que el cliente quiere
978,Segmento 1,MES 1,10,5,Muy buena atención,Todo bien
979,Segmento 1,MES 2,10,5,Excelente servicio,Seguir mejorando por beneficio de los usuarios
980,Segmento 1,MES 3,10,5,Excelente servicio,
981,Segmento 2,MES 1,10,5,Muy buena atención,
982,Segmento 1,MES 2,10,5,,Asesores otro
983,Segmento 1,MES 3,10,5,Excelente servicio,
984,Segmento 1,MES 1,10,5,Buena atención,Continuar asi
985,Segmento 1,MES 2,10,5,Excelente servicio,
986,Segmento 1,MES 3,10,5,Excelente atencion,Nada todo esta muy bien
987,Segmento 2,MES 1,10,4,Excelente atención,
988,Segmento 1,MES 2,10,5,Excelente atencion,Todo muy bien gracias
989,Segmento 1,MES 3,10,5,Muy buena atención,
990,Segmento 2,MES 1,10,5,Excelente atención,Ok
991,Segmento 1,MES 2,10,5,Excelente servicio,
992,Segmento 1,MES 3,10,4,Na,Agilizar todo online
993,Segmento 1,MES 1,9,4,Buena atención,
994,Segmento 1,MES 2,10,5,Buen servicio,Lograr bajar los intereses
995,Segmento 1,MES 3,9,5,Me atendieron bien,Todo esta bien
996,Segmento 2,MES 1,10,5,Buena atención,Tener un auxiliar  orientar al cliente
997,Segmento 1,MES 2,9,4,Buena atencion,Ser muy amables
998,Segmento 2,MES 3,10,5,Buen servicio,Seguir con el mismo ritmo
