segment,answerDate,NPS,impactInteraction,reason,improvement
1,3,10,5,Porque lo procesos con la banca virtual son muy amigables.,Facilitar la descarga de los comprobantes de transacciones. En ocasiones no se pueden descargar.
1,1,9,3,Los movimientos siguen siendo los mismos,No sabía explicae
1,2,9,4,,
1,3,10,5,"Agilidad, seguridad de los datos.",
2,1,9,5,Procesos ágiles y efectivos,Permitir transacciones en moneda extranjera menores al límite actual
1,2,9,3,,Nada asi esta muy bien
2,3,10,3,Continuo muy satisfecha con el servició virtual de la entidad,"El aviso de las transacciones de forma inmediata es lo ideal, en alguna ocasiones llega cinco minutos o mas tiempo despues de realizada la transacción."
1,2,10,4,,
1,3,10,3,,
1,1,9,5,buena aplicación,bien
1,2,10,5,SI,A VECES SE CAE MUCHO EN LA NOCHE
1,3,9,5,Es facil utilizar la plataforma,na
2,1,10,4,Seriedad,
2,2,10,5,Es muy practica y agil,a mi parecer todo esta bien
2,3,10,5,Por la seguridad en el manejo de nuestros valores.,Me encuentro fuera del pais y he podido contar con la ayuda bancaria.
1,1,10,3,"Siempre he tenido una buena experiencia, y eso no ha cambiado","No he evidenciado algo que deba cambiarse, hasta ahora todo me ha fucionado muy bien."
1,2,9,3,,Todo bien!
2,3,9,3,Mucha espera,No sé
1,1,10,3,,Transacciones los fines de semana con otros bancos y por lo menos hasta las 5 pm los días de semana
1,2,10,5,Por sus beneficios y excelente servicio,Simplificar los pasos al momento de una tranferencia
1,3,10,5,Dan una excelente información seguido,Seguir manteniendo la información de la banca
1,1,10,5,confiable,Todo esta bien
1,2,10,5,"Es seguro, fácil y rápido",Descuentos en tiendas por pago con tarjeta debito Scotiabank
1,3,10,3,,
1,1,10,1,"Tengo un acuerdo de pago, con una cuota y fecha fijas  la cual no se ha mantenido, cada vez el valor de la cuota cambia, así como la fecha de paho, la acortan cada mes.",Cumplir lo pactafo
1,2,10,3,,
2,3,9,3,,No es facil comunicarse con un asesor por la web.
2,1,10,3,Sigue igual,
1,2,10,5,"Es buena, y fácil de usar. Aunque el transfiya a veces falla",Estabilizar transfiya
2,3,10,5,,
2,1,9,5,"Por qué es fácil, bastante ágil en las transacciones, pide la verificación correspondiente y esto ayuda a la seguridad virtual.",Hasta el momento vamos bien y mejorando.
2,2,10,3,siempre he quedado satisfecha con los servicios,no se me ocurre nada pues  he encontrado lo que necesito
1,3,9,3,"siempre que utilizo la app , he logrado con facilidad hacer las transacciones necesarias sin tener que desplazarme hasta el banco",por ahora todo esta bien
2,1,9,4,Facilidad,Pagos personalizado.
2,2,9,3,,
1,3,9,4,,
1,1,9,5,Que ya es más fácil yo hago la recargas hago las pagos por pse las transferencias y es relativamente sencillo,Por el momento está bien
2,2,10,3,Sigo pensando que es una excelente tarjeta de credito,
2,3,9,4,"Encuentro que Scotiabank marca diferencia frente al servicio que ofrece otros bancos.
He revisado opciones para tener una alternativa en caso qué Scotiabank salga del mercado y no hay nada parecido.","Considero que tienen estabilizado el servicio, es ágil, confiable y permanente.
Por el momento no veo algún tipo de mejora"
3,1,10,5,Por la seguridad y la eficiencia,No se me ocurre para mi esta muy bien.
1,2,10,5,Porque me brindaron una excelente atención,En el momento creo que todo está bien
1,3,9,4,mejoraron la plataforma de navegación,que informen cuando en algunos momentos la plataforma se cae
2,1,10,3,"La forma de usar la aplicación es genial, fácil y efectiva",Me parece que así está bien
1,2,10,5,Porque es fácil de entrar a la aplicación,Realizar las transferencias de manera inmediata
2,3,9,3,Fui lo mismo fácil y rápido,Nada así esta bien
1,1,9,3,Este canal siempre ofrece un buen servicio,No tengo sugerencias
1,2,10,5,Servicio practico y seguro.,"Todo bien, nada que añadir."
1,3,9,4,Por oportuna y eficaz,
2,1,10,3,Siempre he pensado que funciona bien,No tengo recomendaciones
1,2,10,5,,
2,3,10,5,Muy fácil y prácticos todos los procesos,Mejoramiento permanente y continuo en todos los procesos...
1,1,10,5,El buen  servicio,"Aumentar  la ayuda  por chat  Para las personas  wue estan fuera  del Pais, y poder  realizar  tramites  sin necesidad  de ir a una ofina  principal , por tocaria viajar  a Colombia"
1,2,10,4,,
2,3,10,5,Entro a la página a mi cuenta a mis créditos sin tanta dificultad.,Que los extractos salgan mes a mes
1,1,10,5,Rapidez,Seguir dando un excelente servicio
2,2,9,3,Servicio eficiente en todo momento,Conservar los niveles logrados
1,3,9,4,Por sus nuevos servicios,Hasta el momento estamos bien
1,1,10,4,,
1,2,10,4,Por su fácil ingreso.,No tengo ninguna sugerencia
1,3,9,4,Porque es clara la interacción y sencilla,Solicitar que la clave pueda tener un nivel mayor de seguridad permitiendo y/o solicitando caracteres especiales
2,1,9,3,Viven cambiando cosas y personas  seguido y eso es muy desagradable,Mejorar los telefonos … imposible llamar y siempre contesta un robot
2,2,10,3,Siempre me ha parecido una buena plataforma.,Hasta el momento está muy bien.
1,3,9,5,Fue rápida,"Nada, todo va bien"
1,1,10,4,"Es muy sencilla de usar y tiene bastantes opciones, sin embargo, puede ser un aspecto positivo pero también negativo el bloqueo que se le realiza en la noche. De resto la interacción con la app es bastante buena.","Únicamente validar si hay alguna otra alternativa de evadir el robo en horario nocturno, porque en ocasiones se requiere hacer alguna recarga y no es posible, de resto todo muy bien."
1,2,10,5,la facilidad para cualquier transaccion o movimiento con el banco,"seguir reportando cualquier  movimiento no habitual en la plataforma, para evitar que hayan fraudes"
1,3,10,3,Igual que ntes,Arreglar o agilizar el call center para no dejar tanto tiempo esperando
2,1,10,5,Banco ágil y efectivo.,Dejarla como está.
1,2,10,5,Por qué me parecen muy buena la aplicación,Por el momento no mucho la veo bien
3,3,10,5,,
1,1,10,5,,Hacer aún más segura mi dinero
1,2,10,5,Me gusta q es rápido para todo.,Colocar más cajeros localidad de usme no hay ninguno.
2,3,10,3,Todo mi bien,Todo muy bien
2,1,10,5,Facilidad en pagos en transferencias ahorros etc,Hasta el momento todo me funciona muy bien
1,2,10,5,,
1,3,9,3,Falta mayor información y actualización de datos y reporte,"Mejorar información
Poder de decision y solución"
2,1,10,5,Siempre me entiende muy bien,
2,2,10,3,gzlkjlkjzvlkjhclkjczhlkjhvkljzhvkljchvkljchkjlchvkjzchvkljchklzjchvkljhvlcj,jasdfsjkjkbjklbxcklbjñ
2,3,9,3,"Parametrizar la plataforma para hacer pagos desde el celular, como Daviplata y Nequi sin problema, en mi caso tengo tres cuentas de ahorro y cuando voy a hacer el pago solo aparece una cuenta, no hay opción de elegir desde cual cuenta va a hacer la transferencia telefónica.",
2,1,10,5,Es de fácil manejo y segura,Esta bien
2,2,10,3,Por qué siempre lo he calificado de q son una entidad con buen servicio y eficiente,
1,3,10,5,"Fácil de usar, pronta respuesta.",
1,1,10,3,.,Deberían tener un espacio donde se vea la tarjeta virtual para ver el número de la tarjeta y la cvv con mayor facilidad y comodidad
2,2,10,3,,
1,3,10,5,Porque es fácil y rápido,Que den dinero gratis
2,1,10,5,Es muy rápida y sin complicaciones,Seguir en la vanguardia digital
1,2,10,4,"agil, facil,eficaz,impersonal,permanente 24x7,",
2,3,10,5,Excelente soporte y siempre lista cuando la necesito,Todo ok
1,1,10,5,,
1,2,10,5,Por su buen servicio,Que sigan cumpliendo cómo lo   han hecho hasta  ahora
1,3,10,2,"Por robo de mi celular quería cambiar la clave en la app por seguridad, pero solo me decía que el cambio se hacía con un código al celular, pero si me fue robado no podía cambiar la clave, así que deberían habilitar la opción de correo también.",Habilitar la verificación por correo en algunas de las operaciones.
3,1,10,4,,
1,2,9,4,Por costos,Mejorar los servicios
1,3,10,3,El servicio es igual de bueno,Todo está correcto
2,1,9,5,Muy buena la información y los procesos son muy confiables,Que siga siendo confiable para los usuarios en seguridad
1,2,10,5,Tiene muchas opciones y facilidades para la clase obrera y es muy justa y espero mejore y no se lo contrario,Para que sea mucho mejor agregar todos los servicios a nivel nacional para pagos electrónicos agregar opciones de pago con el tránsito a nivel nacional para poder pagar impuestos y ojalá SOAT de manera fácil desde la app
1,3,10,4,,
2,1,10,5,,"Está excelente, me gusta mucho, estoy muy satisfecho."
1,2,10,3,Porque sigue siendo muy bueno el servicio,"La aplicacion movil en mi telefono solo me sirve para consjktar saldos, no para hacer pagos o trasferencias"
1,3,10,4,Por qué fue posible realizar mi solicitud sin desplazarme,
1,1,10,3,,
1,2,10,5,"Es muy fácil manejar la app, siento que tiene buena seguridad.",Ninguno
2,3,10,3,"La atención fue la esperada.
Muchas gracias","Continuar con la la atención a las inquietudes del usuario.
Gracias"
1,1,10,5,,no me llega la información cuando me consignan o me transfieren.
1,2,10,5,"Porque tengo el servicio de poder pagar la administración de mi apartamento a través de PSE, de manera eficiente, así como la agilidad en la consulta de mi cuenta.",No tengo ninguna sugerencia.
1,3,10,4,la atencion de sus empleados,
1,1,10,5,Agilidad,
1,2,9,3,,
1,3,10,5,Porque es fácil manejarla,Gracias
1,1,10,5,Es efectiva y eficiente,Más disponibilidad de asesoría para los canales
1,2,10,5,,
2,3,10,5,Ser oportuna .ágil  en la respuesta que se necesita. Calidad  de sus asesores.,Excelente hasta el momento. Muchas Gracias.
