segment,answerDate,NPS,impactInteraction,reason,improvement
1,3,1,2,porque no se sabe donde consignar,mas canales para consignar
1,1,1,1,Malaa,Cerrarla
2,2,5,1,"Vivo fuera del país. No puedo descargar, ni instalar la app. La comunicación a través de la multilínea es imposible viviendo por fuera de Colombia.",Permitir que la app se pueda descargar e instalar desde fuera del país.
2,3,4,3,"Todavía hay muchas cosas que se deben hacer en una de sus oficinas, como avances y compras de cartera.",Mejorar
1,1,0,3,,
1,2,0,1,"Porque tuve problemas al intentar renovar un cdt. Me mostraba un error y me comunique a través del chat de soporte, pero no recibí ninguna respuesta al respecto.",Solucionar los problemas que presenta actualmente la renovación de cdt en mi cuenta
2,3,0,1,Nada contenta unos ladrones,
1,1,0,1,Nunca respondieron mi Derecho de Petición,Ser honestos y no robar a los clientes que tenemos tarjeta de credito
1,2,3,3,"La app está bien, me gusta y funciona bien. El problema es que no estoy conforme con los cobros que están haciendo de tarjeta de crédito y por eso estoy considerando retirarme, ya que están muy elevados los intereses de las tarjetas y los cambios que tienen sobre la cantidad de transacciones para los cobros de cuotas de manejo",Nada
2,3,0,1,El banco deja mucho que desear en todos sus servicios,"Nada, ya estoy buscando nuevo banco"
2,1,5,4,Es rápida y confiable,Mejorar facilidades de obtener portafolio
1,2,0,1,,
2,3,1,1,"como es posible que el banco, quien administra las cuentas, me diga que no es posible reversar pagos ni aplicar desistimientos previamente autorizados con otra entidad.",aplicar de manera inmediata el desistimiento de cualquier tipo de descuento a mi cuenta de ahorros sin mi aprobación o verificación
2,1,5,3,"algunas veces no funcionan las transferencias entre cuentas, y si voy a transferir el mismo valor 2 veces seguidas no me deja","tener producto de calidad si en realidad quieren hacer todo desde un celular, yo tengo otro banco pero solo voy, si alguien me paga con cheque; las ayudas ""inteligentes"" de whatsup no sirven; mantener el soporte personal con personas con experiencia es vital."
3,2,6,2,"no con el servicio de la BV o la APP, sino con las condiciones inicalmente dadas con  los productos.",nada
1,3,3,3,"La atención en general es muy mala, ir a una agencia generalmente es a pasar un mal rato, tiempos de espera, calidad de los asesores, en general prefiero usar otras instituciones bancarias.  Tengo la cuenta por antigüedad y porque venía de Citibank, de lo contrario, poco probable escoger el banco.","La aplicación funciona relativamente bien. El problema es mucho más profundo. La gente, los servicios, la apertura a evaluar líneas de servicio."
1,1,4,1,"No brindas ninguna información, se salen por la tangente los asesores y no le ayudan a uno ni en teléfono, ni virtual ni de manera presencial",Capacitar mejor a los asesores de servicio
1,2,5,3,"Siempre me pasa lo mismo. 1.- Demora en recibir el código de seguridad al celular. Me parece que siempre pasa faltando 5 minutos para la hora o comenzando los primeros 5 minutos...Cuando estoy haciendo algún movimiento y me percato de ese momento, dejo para después, pues siempre se acaba el tiempo antes que poder terminar.
2.- No me gusta tener que digitar mi clave personal....","No soy un usuario frecuente y/o constante, entonces sospecho - creo, que sus controles y medidas de seguridad son excelentes y lo que me sucede a mi le debe pasar a todo el mundo."
2,3,0,3,No hay servicio las 24 horas,Full time
1,1,0,3,Porque me han negdo productos y la verdad ya ni me interesa...,nada
3,2,3,3,En CITI podia ver el record de lo trasladado a cuentas inscritas. Y eso es fundamental para mi.,incluir esa opción
2,3,6,3,,
1,1,0,1,Cero soluciones,Nada
1,2,6,4,,
2,3,3,4,"No tengo ningun problema con la Banca Virtual, mi problema es con el servicio al cliente en el Banco localizado en Modelia, El servicio es pesimo y los(as) asesores actuan como si fueran los propietarios del banco.","Nada, como les dije anteriormente no tengo ningun queja con la Banca Virtual o aplicacion movil, al contrario es un buen servicio."
